arret, orig: arrêt
arsin, orig: arsin
artel, orig: artel
arums, orig: arums
aryen, orig: aryen
aryle, orig: aryle
asile, orig: asile
aspes, orig: aspes
aspic, orig: aspic
asque, orig: asque
assai, orig: assai
asses, orig: asses
assez, orig: assez
assis, orig: assis
assit, orig: assit
assit, orig: assît
aster, orig: aster
astis, orig: astis
astre, orig: astre
as-tu, orig: as-tu
atele, orig: atèle
athee, orig: athée
atlas, orig: atlas
atoll, orig: atoll
atome, orig: atome
atone, orig: atone
atour, orig: atour
atout, orig: atout
aubes, orig: aubes
aubin, orig: aubin
aucun, orig: aucun
audio, orig: audio
audit, orig: audit
auges, orig: auges
auget, orig: auget
aulne, orig: aulne
aunes, orig: aunes
aurai, orig: aurai
auras, orig: auras
aurez, orig: aurez
aussi, orig: aussi
autel, orig: autel
autos, orig: autos
autre, orig: autre
avais, orig: avais
avait, orig: avait
avala, orig: avala
avale, orig: avale
avale, orig: avalé
avals, orig: avals
avant, orig: avant
avare, orig: avare
avens, orig: avens
avenu, orig: avenu
avera, orig: avéra
avere, orig: avéré
avere, orig: avère
avers, orig: avers
aveux, orig: aveux
avide, orig: avide
aviez, orig: aviez
avili, orig: avili
avina, orig: avina
avine, orig: avine
avine, orig: aviné
avion, orig: avion
avisa, orig: avisa
avise, orig: avise
avise, orig: avisé
aviso, orig: aviso
aviva, orig: aviva
avive, orig: avive
avive, orig: avivé
avoir, orig: avoir
avons, orig: avons
avoua, orig: avoua
avoue, orig: avoue
avoue, orig: avoué
avril, orig: avril
axais, orig: axais
axait, orig: axait
axant, orig: axant
axees, orig: axées
axent, orig: axent
axera, orig: axera
axiez, orig: axiez
axile, orig: axile
axone, orig: axone
axons, orig: axons
ayant, orig: ayant
ayons, orig: ayons
azote, orig: azote
azote, orig: azoté
azura, orig: azura
azure, orig: azure
azure, orig: azuré
azurs, orig: azurs
azyme, orig: azyme
babas, orig: babas
babil, orig: babil
babys, orig: babys
bacha, orig: bâcha
bache, orig: bâche
bache, orig: bâché
bacla, orig: bâcla
bacle, orig: bâcle
bacle, orig: bâclé
bacon, orig: bacon
bacul, orig: bacul
badge, orig: badge
badin, orig: badin
baffa, orig: baffa
baffe, orig: baffe
baffe, orig: baffé
bafra, orig: bâfra
bafre, orig: bâfre
bafre, orig: bâfré
bagad, orig: bagad
bagne, orig: bagne
bagou, orig: bagou
bagua, orig: bagua
bague, orig: bague
bague, orig: bagué
bahut, orig: bahut
baies, orig: baies
bains, orig: bains
baisa, orig: baisa
baise, orig: baise
baise, orig: baisé
balai, orig: balai
bales, orig: balès
balla, orig: balla
balle, orig: balle
balle, orig: ballé
balsa, orig: balsa
balte, orig: balte
banal, orig: banal
banco, orig: banco
bancs, orig: bancs
banda, orig: banda
bande, orig: bande
bande, orig: bandé
bangs, orig: bangs
banjo, orig: banjo
banna, orig: banna
banne, orig: banne
banne, orig: banné
banni, orig: banni
barba, orig: barba
barbe, orig: barbe
barbe, orig: barbé
barbu, orig: barbu
barda, orig: barda
barde, orig: barde
barde, orig: bardé
bards, orig: bards
barge, orig: barge
baril, orig: baril
barns, orig: barns
baron, orig: baron
barra, orig: barra
barre, orig: barre
barre, orig: barré
barri, orig: barri
barye, orig: barye
basai, orig: basai
basal, orig: basal
basas, orig: basas
basat, orig: basât
basee, orig: basée
baser, orig: baser
bases, orig: bases
bases, orig: basés
basez, orig: basez
basic, orig: basic
basin, orig: basin
basse, orig: basse
baste, orig: baste
batai, orig: bâtai
batas, orig: bâtas
batat, orig: bâtât
batee, orig: bâtée
bater, orig: bâter
bates, orig: bâtes
bates, orig: bâtés
batez, orig: bâtez
batie, orig: bâtie
batik, orig: batik
batir, orig: bâtir
batis, orig: bâtis
batit, orig: bâtit
batit, orig: bâtît
baton, orig: bâton
batte, orig: batte
battu, orig: battu
bauds, orig: bauds
bauge, orig: bauge
bauge, orig: baugé
baume, orig: baume
bavai, orig: bavai
bavas, orig: bavas
bavat, orig: bavât
baver, orig: baver
baves, orig: baves
bavez, orig: bavez
bayai, orig: bayai
bayas, orig: bayas
bayat, orig: bayât
bayer, orig: bayer
bayes, orig: bayes
bayez, orig: bayez
bayou, orig: bayou
bazar, orig: bazar
beais, orig: béais
beait, orig: béait
beant, orig: béant
beate, orig: béate
beats, orig: béats
beauf, orig: beauf
beaux, orig: beaux
bebes, orig: bébés
becha, orig: bêcha
beche, orig: bêche
beche, orig: bêché
becot, orig: bécot
becta, orig: becta
becte, orig: becte
becte, orig: becté
bedon, orig: bedon
beent, orig: béent
beera, orig: béera
begue, orig: béguë
begue, orig: bègue
begum, orig: bégum
beiez, orig: béiez
beige, orig: beige
bekes, orig: békés
belai, orig: bêlai
belas, orig: bêlas
belat, orig: bêlât
belee, orig: bêlée
beler, orig: bêler
beles, orig: bêles
beles, orig: bêlés
belez, orig: bêlez
belge, orig: belge
belle, orig: belle
belon, orig: belon
bemol, orig: bémol
benef, orig: bénef
benet, orig: benêt
benie, orig: bénie
benin, orig: bénin
benir, orig: bénir
benis, orig: bénis
benit, orig: bénit
benit, orig: bénît
benne, orig: benne
beons, orig: béons
bequa, orig: béqua
beque, orig: béqué
beque, orig: bèque
berca, orig: berça
berce, orig: berce
berce, orig: bercé
beret, orig: béret
berge, orig: berge
berme, orig: berme
berna, orig: berna
berne, orig: berne
berne, orig: berné
beryl, orig: béryl
besef, orig: bésef
betas, orig: bêtas
betel, orig: bétel
betes, orig: bêtes
beton, orig: béton
bette, orig: bette
beurs, orig: beurs
bevue, orig: bévue
biais, orig: biais
bibis, orig: bibis
bible, orig: bible
bicha, orig: bicha
biche, orig: biche
biche, orig: biché
bicot, orig: bicot
bides, orig: bides
bidet, orig: bidet
bidon, orig: bidon
biefs, orig: biefs
biens, orig: biens
biere, orig: bière
biffa, orig: biffa
biffe, orig: biffe
biffe, orig: biffé
bigla, orig: bigla
bigle, orig: bigle
bigle, orig: biglé
bigot, orig: bigot
bigre, orig: bigre
bigue, orig: bigue
bijou, orig: bijou
bilai, orig: bilai
bilan, orig: bilan
bilas, orig: bilas
bilat, orig: bilât
bilee, orig: bilée
biler, orig: biler
biles, orig: biles
biles, orig: bilés
bilez, orig: bilez
bille, orig: bille
bills, orig: bills
binai, orig: binai
binas, orig: binas
binat, orig: binât
binee, orig: binée
biner, orig: biner
bines, orig: bines
bines, orig: binés
binez, orig: binez
bingo, orig: bingo
bique, orig: bique
birbe, orig: birbe
bisai, orig: bisai
